frame,joint_name,x,y
165,head,315,13
165,shoulder,409,117
165,hip,222,481
165,knee,222,481
165,handle,354,762
166,head,315,13
166,shoulder,409,116
166,hip,222,481
166,knee,222,481
166,handle,353,761
167,head,315,13
167,shoulder,410,116
167,hip,222,481
167,knee,222,481
167,handle,352,761
168,head,314,13
168,shoulder,410,115
168,hip,222,480
168,knee,222,480
168,handle,352,760
169,head,314,13
169,shoulder,410,114
169,hip,223,479
169,knee,223,479
169,handle,352,759
170,head,314,13
170,shoulder,410,114
170,hip,223,478
170,knee,223,478
170,handle,353,759
171,head,314,13
171,shoulder,411,114
171,hip,223,477
171,knee,223,477
171,handle,353,758
172,head,313,13
172,shoulder,400,115
172,hip,224,477
172,knee,224,477
172,handle,354,758
173,head,313,13
173,shoulder,387,116
173,hip,224,477
173,knee,224,477
173,handle,355,758
174,head,313,13
174,shoulder,375,121
174,hip,224,477
174,knee,224,477
174,handle,356,758
175,head,313,13
175,shoulder,363,132
175,hip,225,477
175,knee,225,477
175,handle,356,758
176,head,312,13
176,shoulder,350,142
176,hip,233,457
176,knee,233,457
176,handle,356,758
177,head,312,13
177,shoulder,349,151
177,hip,234,437
177,knee,234,437
177,handle,356,759
178,head,311,13
178,shoulder,348,161
178,hip,233,412
178,knee,233,412
178,handle,356,759
179,head,310,13
179,shoulder,347,166
179,hip,226,382
179,knee,226,382
179,handle,356,759
180,head,310,13
180,shoulder,346,167
180,hip,222,360
180,knee,222,360
180,handle,356,758
181,head,310,13
181,shoulder,345,168
181,hip,210,357
181,knee,210,357
181,handle,357,758
182,head,310,13
182,shoulder,343,169
182,hip,204,355
182,knee,204,355
182,handle,359,758
183,head,310,13
183,shoulder,343,168
183,hip,201,359
183,knee,201,359
183,handle,359,757
184,head,309,13
184,shoulder,344,168
184,hip,202,367
184,knee,202,367
184,handle,359,757
185,head,309,13
185,shoulder,344,167
185,hip,201,372
185,knee,201,372
185,handle,359,756
186,head,309,13
186,shoulder,344,167
186,hip,201,385
186,knee,201,385
186,handle,360,756
187,head,308,13
187,shoulder,344,167
187,hip,203,407
187,knee,203,407
187,handle,359,756
188,head,308,13
188,shoulder,346,164
188,hip,208,425
188,knee,208,425
188,handle,360,756
189,head,308,13
189,shoulder,348,162
189,hip,213,442
189,knee,213,442
189,handle,361,756
190,head,308,13
190,shoulder,350,159
190,hip,218,456
190,knee,218,456
190,handle,361,756
191,head,308,13
191,shoulder,359,160
191,hip,223,461
191,knee,223,461
191,handle,361,756
192,head,307,13
192,shoulder,377,161
192,hip,226,457
192,knee,226,457
192,handle,360,756
193,head,307,13
193,shoulder,399,162
193,hip,223,456
193,knee,223,456
193,handle,360,756
194,head,307,13
194,shoulder,421,162
194,hip,219,454
194,knee,219,454
194,handle,360,756
195,head,307,13
195,shoulder,443,163
195,hip,216,452
195,knee,216,452
195,handle,359,756
196,head,306,13
196,shoulder,459,160
196,hip,212,451
196,knee,212,451
196,handle,359,756
197,head,306,13
197,shoulder,465,157
197,hip,209,450
197,knee,209,450
197,handle,360,757
198,head,306,13
198,shoulder,465,157
198,hip,209,448
198,knee,209,448
198,handle,358,756
199,head,305,13
199,shoulder,465,157
199,hip,209,446
199,knee,209,446
199,handle,356,756
200,head,305,13
200,shoulder,465,157
200,hip,209,444
200,knee,209,444
200,handle,355,756
201,head,305,13
201,shoulder,465,158
201,hip,209,442
201,knee,209,442
201,handle,354,755
202,head,305,13
202,shoulder,464,158
202,hip,209,441
202,knee,209,441
202,handle,353,755
203,head,304,13
203,shoulder,465,160
203,hip,209,441
203,knee,209,441
203,handle,355,755
204,head,304,13
204,shoulder,465,162
204,hip,209,441
204,knee,209,441
204,handle,357,755
205,head,304,13
205,shoulder,465,164
205,hip,210,441
205,knee,210,441
205,handle,359,755
206,head,304,13
206,shoulder,466,166
206,hip,210,442
206,knee,210,442
206,handle,360,755
207,head,304,14
207,shoulder,467,168
207,hip,210,442
207,knee,210,442
207,handle,362,755
208,head,304,14
208,shoulder,467,168
208,hip,213,443
208,knee,213,443
208,handle,361,754
209,head,304,14
209,shoulder,467,168
209,hip,216,446
209,knee,216,446
209,handle,360,754
210,head,304,14
210,shoulder,466,167
210,hip,219,448
210,knee,219,448
210,handle,360,754
211,head,303,15
211,shoulder,466,167
211,hip,222,450
211,knee,222,450
211,handle,360,755
212,head,303,15
212,shoulder,466,167
212,hip,225,452
212,knee,225,452
212,handle,359,755
213,head,303,15
213,shoulder,466,164
213,hip,222,450
213,knee,222,450
213,handle,359,755
214,head,303,15
214,shoulder,466,160
214,hip,219,447
214,knee,219,447
214,handle,359,755
215,head,303,15
215,shoulder,466,157
215,hip,216,445
215,knee,216,445
215,handle,359,755
216,head,303,15
216,shoulder,467,153
216,hip,213,442
216,knee,213,442
216,handle,358,754
217,head,303,15
217,shoulder,467,150
217,hip,210,439
217,knee,210,439
217,handle,357,754
218,head,303,14
218,shoulder,467,150
218,hip,209,437
218,knee,209,437
218,handle,358,754
219,head,303,14
219,shoulder,467,150
219,hip,209,436
219,knee,209,436
219,handle,358,754
